Item;Cod;Nome;Un;Custo Unitário
001.12.02.03;100289;Ferragens p/ janela 2 fl. (c/ ferrolho);CJ;94,94
001.12.02.04;100404;Ferragens p/ janela 2 fls. (c/ cremone);CJ;94,31
001.12.02.05;100684;Ferragens p/ janela de correr;CJ;59,23
001.12.02.06;100306;Ferragens p/ janela pivotante;CJ;44,31
001.12.03;;--> P/ BALANCINS:;;
001.12.03.01;100290;Ferragens p/ balancim (c/ corrente);CJ;34,88
001.12.03.02;100407;Ferragens p/ balancim (c/ haste e punho em ferro);CJ;45,98
001.12.03.03;100820;Ferrolho para balancim (targeta);UN;11,55
001.12.03.04;100823;Gonzo;PAR;14,24
001.12.03.05;100824;Haste/punho de ferro para balancim;UN;40,91
001.13;;REVESTIMENTOS:;;
001.13.01;110140;Argamassa de cimento e areia 1:2 p/ impermeabiliz.;M3;528,98
001.13.02;110141;Argamassa de cimento e areia 1:4;M3;340,11
001.13.03;110142;Argamassa de cimento e areia 1:6;M3;295,81
001.13.04;110248;Argamassa de cimento e areia no traço 1:3;M3;457,78
001.13.05;110764;Argamassa de cimento,areia e adit. plast. 1:6;M3;290,26
001.13.06;110148;Azulejo branco assentado a prumo no traço 1:5:1;M2;58,88
001.13.07;110552;Barra lisa c/argamassa de cimento areia e barro;M2;36,3
001.13.08;110810;Cantoneira para azulejo (alumínio);M;6,04
001.13.09;110146;Carapinha c/ argamassa no traço 1:4;M2;8,61
001.13.10;110581;Cerâmica 10x10cm (padrao medio);M2;81,39
001.13.11;110505;Cerâmica Terragres 10x10cm;M2;95,04
001.13.12;110243;Chapa de chumbo sobre parede;M2;545,44
001.13.13;110149;Chapa de chumbo sobre parede c/acabamento em fórmica;M2;616,99
001.13.14;110143;Chapisco de cimento e areia no traço 1:3;M2;7,42
001.13.15;110150;Compensado c/ formica sobre estrutura em madeira;M2;96,99
001.13.16;110762;Emboço com argamassa 1:6:Adit. Plast.;M2;25,66
001.13.17;110657;Fórmica sobre emboço;M2;59,1
001.13.18;110826;Grampeamento de parede;M;24,27
001.13.19;110653;Granito e=2cm;M2;292,84
001.13.20;111292;Pastilha de porcelana 5x5cm - Padrão Alto;M2;185,15
001.13.21;111291;Pastilha de porcelana 5x5cm - Padrão Médio;M2;153,65
001.13.22;110189;Pastilhas de vidro 2,5x2,5cm;M2;253,4
001.13.23;110255;Placa de argamassa armada;M2;122,85
001.13.24;110763;Reboco com argamassa 1:6:Adit. Plast.;M2;30,12
001.13.25;110245;Reboco com argamassa baritada;M2;162,86
001.13.26;110249;Reboco com argamassa no traço 1:3 - p/ epoxi;M2;34,3
001.13.27;110291;Reboco estanhado;M2;32,97
001.13.28;110645;Revestimento Cerâmico Padrão Alto;M2;71,94
001.13.29;110644;Revestimento Cerâmico Padrão Médio;M2;60,18
001.14;;RODAPES, SOLEIRAS E PEITORIS:;;
001.14.01;120481;Peitoril em marmore branco e=3cm;M2;382,1
001.14.02;120164;Rodape ceramico h=8cm;M;10,45
001.14.03;120688;Rodapé de alta resistência (incl. polimento);M;7,92
001.14.04;120163;Rodape em cimentado;M;7,49
001.14.05;120655;Rodape em granito e=2cm/h=8cm;M;33,65
001.14.06;120162;Rodape em madeira de lei h=7cm;M;25,73
001.14.07;120276;Rodape em paviflex;M;9,92
001.14.08;120772;Rodapé em poliestireno de 12cm;M;40,64
001.14.09;120771;Rodapé em poliestireno de 9cm;M;34,86
001.14.10;120770;Rodape em Porcelanato;M;15
001.14.11;120734;Soleira e peitoril - granito preto - e=2cm;M2;461,1
001.14.12;120733;Soleira e Peitoril em granito (preto) c/ rebaixo e=3cm;M2;511,1
001.14.13;120229;Soleira em cimentado h=15cm;M;5,71
001.14.14;120165;Soleira em marmore branco e=2cm;M2;382,1
001.14.15;120204;Soleira em marmore de cor e=2cm;M2;382,1
001.15;;PISOS:;;
001.15.01;130668;Ardosia;M2;63,83
001.15.02;130492;Calçada (incl.alicerce, baldrame e concreto c/ junta seca);M2;81,3
001.15.03;130507;Camada impermeabilizadora e=10cm c/ seixo;M2;42,97
001.15.04;130111;Camada impermeabilizadora e=10cm c/pedra preta (incl. Sika 1);M2;44,27
001.15.05;130110;Camada regularizadora no traço 1:4;M2;24,36
001.15.06;130483;Carpete e=4mm;M2;40,82
001.15.07;131026;Cerâmica anti-derrapante;M2;60,04
001.15.08;130233;Cimentado liso c/ junta plastica;M2;39,54
001.15.09;130208;Cimentado liso c/junta de madeira;M2;41,46
001.15.10;130113;Cimentado liso e=2cm traço 1:3;M2;33,54
001.15.11;130292;Cimentado queimado;M2;40,3
001.15.12;130584;Concreto c/ seixo e junta seca e=10cm;M2;58,91
001.15.13;130112;Concreto simples c/ seixo e=5cm traço 1:2:3;M2;44,65
001.15.14;130206;Empedramento c/ pedra preta argamassada;M2;63,12
001.15.15;130649;Granito Juparana e=2cm;M2;430,44
001.15.16;130495;Granito preto e=2cm;M2;495,95
001.15.17;130119;Lajota ceramica - PEI IV -  (Padrão Médio);M2;67,11
001.15.18;130725;Lajota ceramica - PEI V -  (Padrão Alto);M2;76,67
001.15.19;130506;Lajota ceramica - tipo Terragres;M2;84,54
001.15.20;130118;Marmore branco e=3cm;M2;338,64
001.15.21;130117;Marmore de cor e=3cm;M2;461,57
001.15.22;130122;Paviflex - assente na cola;M2;67,04
001.15.23;131090;Pedra Cariri - filete ou almofadada;M2;81,39
001.15.24;130830;Pedra Jacobina;M2;107,58
001.15.25;130831;Pedra natural Cariri;M2;68,81
001.15.26;130667;Pedra S. Tome;M2;126,91
001.15.27;130626;Piso de alta resistência e=8mm c/ resina incl. camada regularizadora;M2;79,17
001.15.28;131289;Piso em granito branco Ártico;M2;444,95
001.15.29;131290;Piso em granito cinza Mauá;M2;312,35
001.15.30;131288;Piso em granito verde Ubatuba;M2;332,75
001.15.31;130728;Piso Tátil direcional na cor amarelo 25x25 (16 unidades);M2;117,73
001.15.32;130521;Placa pre-moldada concreto simples (e=5cm);M2;49,04
001.15.33;130170;Plurigoma - assente na cola;M2;92,39
001.15.34;130716;Porcelanato (natural) - Padrão Alto;M2;116,34
001.15.35;130715;Porcelanato (natural) - Padrão Médio;M2;100,59
001.15.36;130759;Porcelanato (polido) - Padrão Alto;M2;200,34
001.15.37;130758;Porcelanato (polido) - Padrão Médio;M2;126,84
001.15.38;130760;"Tábua macheada 6 1/2""x7/8"" cumaru ou similar (incl.camada regularizadora)";M2;166,37
001.15.39;130123;"Tabua macheada 6 1/2""x7/8"" ipe ou jatoba (incl. camada regularizadora)";M2;227,27
001.16;;FORROS:;;
001.16.01;140348;Barroteamento em madeira de lei p/ forro PVC;M2;34,32
001.16.02;141370;Cimalha de gesso h=10cm;M;22,26
001.16.03;140811;Cimalha de madeira h=10cm;M;31,01
001.16.04;141372;Forro colméia liso  ( incl. barroteamento);M2;492,56
001.16.05;140198;Forro em estuque;M2;118,04
001.16.06;141373;Forro em gesso acartonado aramado;M2;50,22
001.16.07;141368;Forro em gesso acartonado estruturado;M2;61,89
001.16.08;141369;Forro em gesso acustico (c/lã de vidro);M2;118,4
001.16.09;141334;Forro em gesso liso;M2;37,52
001.16.10;140159;Forro em lambri de angelim (c/ barroteamento);M2;115,1
001.16.11;140828;Forro em lambri de angelim (s/ barroteamento);M2;83,56
001.16.12;141336;Forro em lambri de PVC;M2;31,88
001.16.13;140598;Forro em placa de fibrocimento c/ isolamento termico;M2;133,61
001.16.14;140240;Forro em PVC 100mm entarugamento - metalico;M2;76,9
001.16.15;140158;Forro em tabuas de marupa (c/ barroteamento);M2;74,88
001.16.16;140829;Forro em tabuas de marupa (s/ barroteamento);M2;43,34
001.16.17;140160;Forro eucatex natural e = 12mm;M2;91,93
001.16.18;140479;Reguado em madeira lei p/ beiral (c/ barroteamento);M2;53,89
001.17;;PINTURAS:;;
001.17.01;;A BASE DE ÁGUA:;;
001.17.01.01;150129;Emassamento de parede p/ receber pintura PVA;M2;7,63
001.17.01.02;150605;PVA externa (sobre pintura antiga);M2;7,33
001.17.01.03;150179;PVA externa c/ massa sem liq. preparador;M2;13,77
001.17.01.04;150132;PVA externa c/massa e liq. preparador;M2;22,08
001.17.01.05;150252;PVA externa sem massa c/ líq. preparador;M2;14,66
001.17.01.06;150125;PVA externa sem superf. preparada;M2;9,55
001.17.01.07;150604;PVA interna (sobre pintura antiga);M2;6,93
001.17.01.08;150730;PVA interna c/ massa acrilica e selador;M2;22,68
001.17.01.09;150731;PVA interna c/ massa acrilica sem selador;M2;15,02
001.17.01.10;150251;PVA interna c/ massa e selador;M2;20,74
001.17.01.11;150178;PVA interna c/ massa sem selador;M2;13,08
001.17.01.12;150261;PVA interna sem massa c/ selador;M2;13,11
001.17.01.13;150124;PVA interna sem superf. preparada;M2;9,05
001.17.01.14;150654;PVA sobre muro;M2;6,02
001.17.02;;A BASE DE ÓLEO:;;
001.17.02.01;150128;Emassamento de parede p/ receber pintura  a oleo;M2;9,87
001.17.02.02;150192;Óleo sobre ferro (superf.aparelhada);M2;25,84
001.17.02.03;150490;Óleo sobre grade de ferro (superf. aparelhada);M2;36
001.17.02.04;150271;Óleo sobre madeira c/ massa e selador;M2;29,14
001.17.02.05;150587;Óleo sobre madeira c/ selador sem massa;M2;17,1
001.17.02.06;150191;Óleo sobre parede c/ massa e selador;M2;26,14
001.17.02.07;150199;Óleo sobre parede sem massa c/ selador;M2;16,54
001.17.03;;ESMALTE:;;
001.17.03.01;150302;Esmalte s/ ferro (superf. lisa);M2;25,52
001.17.03.02;150377;Esmalte s/ madeira c/ selador sem massa;M2;17,14
001.17.03.03;150301;Esmalte s/ parede c/ massa e selador;M2;25,76
001.17.03.04;150491;Esmalte sobre grade de ferro (superf. aparelhada);M2;35,52
001.17.03.05;150134;Esmalte sobre madeira c/ massa e selador;M2;28,79
001.17.03.06;150588;Esmalte sobre parede c/ selador sem massa;M2;16,14
001.17.04;;VERNIZ:;;
001.17.04.01;150130;Verniz poliuretano sobre concreto/tijolo;M2;19,96
001.17.04.02;150606;Verniz poliuretano sobre madeira (esquadrias/forro);M2;16,79
001.17.04.03;150210;Verniz poliuretano sobre madeiramento do telhado;M2;22,8
001.17.05;;ACRÍLICA:;;
001.17.05.01;150741;Acrilica (sobre pintura antiga);M2;9,11
001.17.05.02;151285;Acrílica acetinada c/ massa e selador - interna e externa;M2;29,72
001.17.05.03;150180;Acrilica fosca int. e ext. sem massa c/ selador -;M2;17,36
001.17.05.04;150480;Acrilica fosca int./ext. c/fdo. preparador 3 dem.(reforma)s/massa;M2;16,27
001.17.05.05;150253;Acrilica fosca int./ext. c/massa e selador - 3 demaos;M2;28,47
001.17.05.06;151284;Acrílica semi-brilho c/ massa e selador - interna e externa;M2;29,27
001.17.05.07;150586;Emassamento de parede c/ massa acrilica;M2;14,93
001.17.06;;EPOXI:;;
001.17.06.01;150126;Epoxi com massa e selador;M2;61,56
001.17.06.02;150127;Epoxi sem massa c/ selador;M2;57,61
001.17.07;;OUTRAS PINTURAS:;;
001.17.07.01;150207;Acrílica para piso;M2;12,62
001.17.07.02;150131;Anti-ferruginosa;M2;24,13
001.17.07.03;150489;Anti-ferruginosa sobre grade de ferro;M2;34,49
001.17.07.04;150696;Automotiva sobre superficie metalica;M2;21,34
001.17.07.05;150714;Liquibrilho;M2;11,18
001.17.07.06;150286;Pintura s/ telha ceramica;M2;12,52
001.17.07.07;150274;Selador s/ madeira;M2;16,37
001.17.07.08;150752;Texturato rustico;M2;26,39
001.17.07.09;151367;Tinta a base de silicato solúvel;M2;27,34
001.17.07.10;150759;Tinta verde p/ quadro escolar;M2;23,2
001.18;;INSTALAÇÕES ELÉTRICAS;;
001.18.01;;QUADROS E CAIXAS:;;
001.18.01.01;170883;Caixa Airstop p/ disjuntor bipolar de embutir até 50A;UN;43,31
001.18.01.02;170870;"Caixa de aluminio 4""x2""";UN;11,86
001.18.01.03;170873;"Caixa de F°G° 3""x3""";UN;3,41
001.18.01.04;170874;"Caixa de F°G° 4""x4""";UN;5,25
001.18.01.05;170871;Caixa de ferro octogonal;UN;5,37
001.18.01.06;170872;Caixa de ferro sextavada fundo movel;UN;7,07
001.18.01.07;170875;Caixa de inspeção em polipropileno - 15x15cm;UN;60,38
001.18.01.08;170876;Caixa de inspeção em polipropileno - 30x40cm;UN;65,38
001.18.01.09;170323;Caixa de passagem ch. aço 100x100x80mm;UN;24,77
001.18.01.10;170324;Caixa de passagem ch. aço 150x150x80mm;UN;41,2
001.18.01.11;170325;Caixa de passagem ch. aço 200x200x100mm;UN;67,85
001.18.01.12;170877;Caixa de passagem em aluminio 100x100x70mm;UN;34,09
001.18.01.13;170341;Caixa de passagem em alumínio 150x150x100mm;UN;54,79
001.18.01.14;170878;Caixa de passagem em aluminio 200x200x115mm;UN;90,86
001.18.01.15;170879;Caixa de passagem em aluminio 300x300x130mm;UN;211,61
001.18.01.16;170880;Caixa de passagem em aluminio 400x400x180mm;UN;366,61
001.18.01.17;170881;"Caixa plástica 4""x2""";UN;2,19
001.18.01.18;171416;"Caixa plástica 4""x4""";UN;3,18
001.18.01.19;171417;Caixa plástica octogonal;UN;4,5
001.18.01.20;170882;Caixa polifásica padrão Celpa;UN;161,07
001.18.01.21;171470;Caixa ZB - inspeção c/ tampa de aço;UN;82,29
001.18.01.22;170866;Centro de distribuição p/ 03 disjuntores (s/ barramento);UN;32,61
001.18.01.23;170884;Centro de distribuição p/ 06 disjuntores (s/ barramento);UN;73,76
001.18.01.24;170885;Centro de distribuição p/ 08 disjuntores (s/ barramento);UN;73,76
001.18.01.25;170886;Centro de distribuição p/ 10 disjuntores (s/ barramento);UN;101,06
001.18.01.26;170321;Centro de distribuiçao p/ 12 disjuntores (c/ barramento);UN;372,46
001.18.01.27;170887;Centro de distribuição p/ 16 disjuntores (c/ barramento);UN;377,55
001.18.01.28;170888;Centro de distribuição p/ 20 disjuntores (c/ barramento);UN;492,72
001.18.01.29;170322;Centro de distribuiçao p/ 24 disjuntores (c/ barramento);UN;490,84
001.18.01.30;170386;Centro de distribuiçao p/ 32 disjuntores (c/ barramento);UN;542,4
001.18.01.31;170889;Centro de distribuição p/ 36 disjuntores  (c/ barramento);UN;726,34
001.18.01.32;170387;Centro de distribuiçao p/ 40 disjuntores (c/ barramento);UN;708,37
001.18.01.33;170890;Centro de distribuição p/ 70 disjuntores (c/ barramento);UN;1859,08
001.18.01.34;170891;Chave blindada 3P-100A;UN;782,64
001.18.01.35;170869;Quadro de comando - proteção trifásico - 2CV;UN;516,08
001.18.01.36;170868;Quadro de comando - proteção trifásico - 3CV;UN;546,08
001.18.01.37;170867;Quadro de comando - proteção trifásico - 4CV;UN;766,08
001.18.01.38;170073;Quadro de mediçao bifasico (c/ disjuntor);UN;389,81
001.18.01.39;170072;Quadro de mediçao monofasico (c/ disjuntor);UN;230,16
001.18.01.40;170615;Quadro de mediçao trifasico (c/ disjuntor);UN;550,27
001.18.02;;DISJUNTORES:;;
001.18.02.01;170892;Disjuntor 10 DR 2P- 25A 10 mA - PADRÃO DIN;UN;131,98
001.18.02.02;170893;Disjuntor 10 DR 4P- 25A 10 mA - PADRÃO DIN;UN;151,05
001.18.02.03;170326;Disjuntor 1P - 10 a 30A - PADRÃO DIN;UN;14,42
001.18.02.04;170330;Disjuntor 1P - 40 e 50A - PADRÃO DIN;UN;16,69
001.18.02.05;170362;Disjuntor 2P - 15 a 50A - PADRÃO DIN;UN;49,49
001.18.02.06;170388;Disjuntor 3P - 15 a 50A - PADRÃO DIN;UN;70,34
001.18.02.07;170897;Disjuntor 3P - 175A - PADRÃO DIN;UN;1013,76
001.18.02.08;170898;Disjuntor 3P - 200A - PADRÃO DIN;UN;1013,76
001.18.02.09;170899;Disjuntor 3P - 250A - PADRÃO DIN;UN;1050,76
001.18.02.10;170894;Disjuntor 3P - 300A;UN;1880,76
001.18.02.11;170895;Disjuntor 3P - 400A;UN;1880,76
001.18.02.12;170393;Disjuntor 3P - 60 a 100A - PADRÃO DIN;UN;160,66
001.18.02.13;170896;Disjuntor 3P - 600A;UN;3020,76
001.18.02.14;170900;Disjuntor UL 3P - 125A a 225A - PADRÃO DIN;UN;285,72
001.18.03;;ELETRODUTOS,CONDULETES E CALHAS:;;
001.18.03.01;170922;Canaleta 20x20mm;M;8,82
001.18.03.02;170923;Canaleta sistema X completa;M;10,18
001.18.03.03;170914;"Condulete de aluminio tipo C 1/2""";UN;8,21
001.18.03.04;170915;"Condulete de aluminio tipo C 3/4""";UN;8,77
001.18.03.05;170916;"Condulete de aluminio tipo E 1""";UN;11,47
001.18.03.06;170917;"Condulete de aluminio tipo E 1/2""";UN;9,37
001.18.03.07;170918;"Condulete de aluminio tipo E 3/4""";UN;9,37
001.18.03.08;170919;"Condulete de aluminio tipo L 1.1/4""";UN;22,76
001.18.03.09;170920;"Condulete de aluminio tipo L 3/4""";UN;7,5
001.18.03.10;170921;"Condulete de aluminio tipo LL 1""";UN;11,77
001.18.03.11;170901;"Condulete de aluminio tipo LL 1/2""";UN;7,78
001.18.03.12;170902;"Condulete de aluminio tipo LL 3/4""";UN;7,5
001.18.03.13;170903;"Condulete de aluminio tipo LR 1""";UN;11,77
001.18.03.14;170904;"Condulete de aluminio tipo LR 1/2""";UN;7,16
001.18.03.15;170905;"Condulete de aluminio tipo LR 3/4""";UN;7,5
001.18.03.16;170907;"Condulete de aluminio tipo T 1""";UN;11,71
001.18.03.17;170908;"Condulete de aluminio tipo T 1/2""";UN;9,44
001.18.03.18;170906;"Condulete de aluminio tipo T 11/4""";UN;25,68
001.18.03.19;170909;"Condulete de aluminio tipo T 3/4""";UN;7,72
001.18.03.20;170910;"Condulete de aluminio tipo X 1""";UN;16,97
001.18.03.21;170911;"Condulete de aluminio tipo X 1/2""";UN;11,06
001.18.03.22;170912;"Condulete de aluminio tipo X 3/4""";UN;14,97
001.18.03.23;170913;"Eletrocalha de metal curve ""L"" desc tipo ""U"" perf. 100 - 3m";UN;75,11
001.18.03.24;170924;"Eletrocalha de metal curve ""L"" desc tipo ""U"" perf. 50 - 3m";UN;47,68
001.18.03.25;170925;"Eletrocalha de metal curve ""L"" desc tipo ""U"" perf. 75 - 3m";UN;72,07
001.18.03.26;170926;"Eletrocalha de metal curve ""T""  tipo ""U"" perf. 100 - 3m";UN;50,61
001.18.03.27;170927;"Eletrocalha de metal curve ""T""  tipo ""U"" perf. 50 - 3m";UN;38,91
001.18.03.28;170928;"Eletrocalha de metal curve ""T""  tipo ""U"" perf. 75 - 3m";UN;44,41
001.18.03.29;170929;"Eletrocalha de metal curve ""U""perf. 100x75  - 3m";UN;92,91
001.18.03.30;170930;"Eletrocalha de metal curve ""U""perf. 50x100  - 3m";UN;62,91
001.18.03.31;170931;"Eletrocalha de metal curve ""U""perf. 50x50  - 3m";UN;53,91
001.18.03.32;171019;"Eletroduto de F°G° de 1 1/2""";M;28,9
001.18.03.33;171018;"Eletroduto de F°G° de 1 1/4""";M;26,73
001.18.03.34;171017;"Eletroduto de F°G° de 1""";M;19,89
001.18.03.35;171091;"Eletroduto de F°G° de 1/2""";M;10,4
001.18.03.36;171021;"Eletroduto de F°G° de 2 1/2""";M;60,71
001.18.03.37;171020;"Eletroduto de F°G° de 2""";M;61,45
001.18.03.38;171022;"Eletroduto de F°G° de 3""";M;75,78
001.18.03.39;171092;"Eletroduto de F°G° de 3/4""";M;13,48
001.18.03.40;170932;"Eletroduto de F°G° de 4""";M;141,55
001.18.03.41;170631;"Eletroduto PVC de 1 1/2""";M;14,49
001.18.03.42;170632;"Eletroduto PVC de 1 1/4""";M;13,05
001.18.03.43;170078;"Eletroduto PVC de 1""";M;7,76
001.18.03.44;170075;"Eletroduto PVC de 1/2""";M;5,43
001.18.03.45;170074;"Eletroduto PVC de 2 1/2""";M;26,01
001.18.03.46;170630;"Eletroduto PVC de 2""";M;16,86
001.18.03.47;170077;"Eletroduto PVC de 3""";M;31,61
001.18.03.48;170076;"Eletroduto PVC de 3/4""";M;6,34
001.18.03.49;170727;"Eletroduto PVC de 4""";M;45,85
001.18.04;;CABOS:;;
001.18.04.01;170947;Cabo coaxial 75 Homs 200 Mhz (TV);M;2,28
001.18.04.02;170944;Cabo de aluminio - 2 AWG sem alma de aço;M;3,14
001.18.04.03;170945;Cabo de aluminio 2 AWG c/ alma de aço;KG;36,15
001.18.04.04;170742;Cabo de cobre   1,5mm2 - 1 KV;M;4,15
001.18.04.05;170298;Cabo de cobre   1,5mm2 - 750 V;M;3,44
001.18.04.06;170743;Cabo de cobre   2,5mm2 - 1 KV;M;5,52
001.18.04.07;170418;Cabo de cobre   2,5mm2 - 750 V;M;4,02
001.18.04.08;170744;Cabo de cobre   4mm2 - 1 KV;M;6,41
001.18.04.09;170317;Cabo de cobre   4mm2 - 750 V;M;5,06
001.18.04.10;170745;Cabo de cobre   6mm2 - 1  KV;M;7,22
001.18.04.11;170318;Cabo de cobre   6mm2 - 750 V;M;6,23
001.18.04.12;170746;Cabo de cobre  10mm2 - 1 KV;M;9,72
001.18.04.13;170319;Cabo de cobre  10mm2 - 750 V;M;8,56
001.18.04.14;170747;Cabo de cobre  16mm2 - 1 KV;M;12,29
001.18.04.15;170320;Cabo de cobre  16mm2 - 750 V;M;11,7
001.18.04.16;170748;Cabo de cobre  25mm2 - 1KV;M;17,08
001.18.04.17;170358;Cabo de cobre  25mm2 - 750 V;M;16,39
001.18.04.18;170749;Cabo de cobre  35mm2 - 1 KV;M;22,3
001.18.04.19;170359;Cabo de cobre  35mm2 - 750 V;M;20,99
001.18.04.20;170750;Cabo de cobre  50mm2 - 1 KV;M;29,85
001.18.04.21;170360;Cabo de cobre  50mm2 - 750 V;M;28,14
001.18.04.22;170751;Cabo de cobre  70mm2 - 1 KV;M;40,94
001.18.04.23;170361;Cabo de cobre  70mm2 - 750 V;M;39,17
001.18.04.24;170933;Cabo de cobre  95 mm² - 1 KV;M;55,81
001.18.04.25;171269;Cabo de cobre  95mm2 - 750V;M;47,55
001.18.04.26;170934;Cabo de cobre 120 mm² - 1 KV;M;63,76
001.18.04.27;170935;Cabo de cobre 150 mm² - 1 KV;M;85,03
001.18.04.28;170936;Cabo de cobre 185 mm² - 1 KV;M;106,45
001.18.04.29;170937;Cabo de cobre 240 mm2 - 1 KV;M;152,77
001.18.04.30;171270;Cabo de cobre nú 16mm²;M;10,16
001.18.04.31;171271;Cabo de cobre nú 25mm²;M;14,07
001.18.04.32;171272;Cabo de cobre nú 35mm²;M;18,97
001.18.04.33;171273;Cabo de cobre nú 50mm²;M;27,26
001.18.04.34;171274;Cabo de cobre nú 70mm²;M;40,6
001.18.04.35;171275;Cabo de cobre nú 95mm²;M;48,8
001.18.04.36;170938;Cabo multiplex 3 x 10mm²;M;5,42
001.18.04.37;170939;Cabo multiplex 4 x 10mm²;M;7,54
001.18.04.38;170940;Cabo multiplex 4 x 16mm²;M;9,31
001.18.04.39;170941;Cabo multiplex 4 x 25mm²;M;13,15
001.18.04.40;170942;Cabo multiplex 4 x 35mm²;M;17,91
001.18.04.41;170943;Cabo multiplex 4 x 70mm²;M;32,79
001.18.05;;PONTOS, TOMADAS E INTERRUPTORES:;;
001.18.05.01;171519;Campainha/Cigarra (sem fiação);UN;33,45
001.18.05.02;171521;Controlador de ventilador;UN;54,42
001.18.05.03;170961;Ignitor p/ lâmpada vapor de sódio;UN;38,76
001.18.05.04;170333;Interruptor 1 tecla paralelo (s/fiaçao);UN;14,72
001.18.05.05;170332;Interruptor 1 tecla simples (s/fiaçao);UN;11,02
001.18.05.06;170337;Interruptor 1 tecla+tomada (s/fiaçao);UN;23,72
001.18.05.07;170964;Interruptor 2 teclas +Tomada 2P +T (s/fiação);UN;31,43
001.18.05.08;170336;Interruptor 2 teclas paralelo (s/fiaçao);UN;25,92
001.18.05.09;170334;Interruptor 2 teclas simples (s/fiaçao);UN;20,57
001.18.05.10;170335;Interruptor 2 teclas simples+paralelo (s/fiaçao);UN;24,02
001.18.05.11;170963;Interruptor 3 teclas paralelo (s/fiação);UN;30,93
001.18.05.12;170338;Interruptor 3 teclas simples (s/fiaçao);UN;29,43
001.18.05.13;171418;Interruptor diferencial residual 4P-40A-300mA.;UN;175,15
001.18.05.14;170960;Minuteria com pulsador;UN;99,52
001.18.05.15;170309;Ponto de antena p/ radio e TV (c/ fiaçao);Pt;112,38
001.18.05.16;170701;Ponto de força (tubul., fiaçao e disjuntor) acima de 200W;Pt;310,11
001.18.05.17;170081;Ponto de luz / força (c/tubul., cx. e fiaçao) ate 200W;Pt;151,13
001.18.05.18;170398;Ponto p/ campainha /cigarra (com tubul. Cx. e fiação);Pt;134,25
001.18.05.19;170692;Ponto p/ ventilador de teto (c/ fiaçao);Pt;70,53
001.18.05.20;170962;Pulsador de campainha 10A (sem fiação);UN;25,42
001.18.05.21;171491;Revisão de ponto de luz;Pt;60,45
001.18.05.22;170952;"Tampa cega 3""x3"" plástica";UN;8,15
001.18.05.23;170948;"Tampa cega 4""x2"" metálica";UN;12,15
001.18.05.24;170950;"Tampa cega 4""x2"" plástica";UN;7,15
001.18.05.25;170951;"Tampa cega 4""x4"" plástica";UN;9,05
001.18.05.26;170949;"Tampa cega 4x4"" metálica";UN;16,65
001.18.05.27;170953;Tampa de pressão para perfilado 38mm - 3m;Pç;15,05
001.18.05.28;170958;Tomada  sistema X completa;UN;28,61
001.18.05.29;170959;"Tomada  terminal de TV coaxial 4""x2""- 2 pontos";UN;34,61
001.18.05.30;170339;Tomada 2P+T 10A (s/fiaçao);UN;14,46
001.18.05.31;171523;Tomada 2P+T 20A (s/fiaçao);UN;18,02
001.18.05.32;170955;Tomada 3P+T 63A/220V;UN;160,61
001.18.05.33;170956;"Tomada de piso 3P+T - 4""x2""";UN;45,61
001.18.05.34;171522;Tomadas 2 (2P+T) 10A (s/fiação);UN;26,62
001.18.05.35;171520;Tomadas 2 (2P+T) 20A (s/fiação);UN;28,62
001.18.06;;LUMINÁRIAS:;;
001.18.06.01;170371;Conjunto ilum. tipo petala c/1 lamp. v. mercurio/poste de aço;UN;1783,48
001.18.06.02;170372;Conjunto ilum. tipo petala c/2 lamp. v. mercurio/poste de aço;UN;1941,5
001.18.06.03;170993;Holofote - 300W (Cônico);UN;191,52
001.18.06.04;171527;Lâmpada de Led Tubular 10W bivolt;UN;27,34
001.18.06.05;171528;Lâmpada de Led Tubular 18W bivolt;UN;39,5
001.18.06.06;170997;Lâmpada fluorescente 100W 127V/220V;UN;16,24
001.18.06.07;170998;Lâmpada fluorescente com reator acoplado (PLL)15W -127V/220V;UN;18,15
001.18.06.08;170999;Lâmpada fluorescente com reator acoplado (PLL)20W -127V/220V;UN;18,15
001.18.06.09;171000;Lâmpada fluorescente com reator acoplado (PLL)48W -127V/220V;UN;42,15
001.18.06.10;170996;Lâmpada Halogena 100W 127V/220V;UN;8,24
001.18.06.11;170995;Lâmpada Halogena 150W 127V/220V;UN;11,94
001.18.06.12;171001;Lâmpada Halogena tipo par 20  50W 127V/220V;UN;13,67
001.18.06.13;170994;Lâmpada incandescente 100W-127V/220V;UN;6,24
001.18.06.14;171002;Lâmpada mista 160W -E27;UN;21,24
001.18.06.15;171003;Lâmpada mista 250W -E27;UN;31,2
001.18.06.16;171004;Lâmpada mista 500W -E40;UN;57,49
001.18.06.17;171007;Lâmpada vapor de merc. 125W;UN;18,24
001.18.06.18;171005;Lâmpada vapor de merc. 250W;UN;30,58
001.18.06.19;171006;Lâmpada vapor de merc. 400W;UN;35,74
001.18.06.20;171010;Lâmpada vapor de sódio  80W;UN;24,04
001.18.06.21;171008;Lâmpada vapor de sódio 250W;UN;42,21
001.18.06.22;171009;Lâmpada vapor de sódio 350W;UN;42,21
001.18.06.23;171011;Lâmpada vapor metálico 400W;UN;80,24
001.18.06.24;171012;Lâmpada vapor metálico 70W;UN;51,24
