ITEM;CÓDIGOS;CLASSE;DESCRIÇÃO;UNIDADE;VALOR
001.03.56;87445;;BETONEIRA CAPACIDADE NOMINAL 400 L, CAPACIDADE DE MISTURA 310 L, MOTOR A DIESEL POTÊNCIA 5,0 HP, SEM CARREGADOR - CHP DIURNO. AF_06/2014;CHP;3,15
001.03.57;88386;;MISTURADOR DE ARGAMASSA, EIXO HORIZONTAL, CAPACIDADE DE MISTURA 300 KG, MOTOR ELÉTRICO POTÊNCIA 5 CV - CHP DIURNO. AF_06/2014;CHP;2,68
001.03.58;88393;;MISTURADOR DE ARGAMASSA, EIXO HORIZONTAL, CAPACIDADE DE MISTURA 600 KG, MOTOR ELÉTRICO POTÊNCIA 7,5 CV - CHP DIURNO. AF_06/2014;CHP;3,6
001.03.59;88399;;MISTURADOR DE ARGAMASSA, EIXO HORIZONTAL, CAPACIDADE DE MISTURA 160 KG, MOTOR ELÉTRICO POTÊNCIA 3 CV - CHP DIURNO. AF_06/2014;CHP;2,08
001.03.60;88418;;PROJETOR DE ARGAMASSA, CAPACIDADE DE PROJEÇÃO 1,5 M3/H, ALCANCE DE 30 ATÉ 60 M, MOTOR ELÉTRICO POTÊNCIA 7,5 HP - CHP DIURNO. AF_06/2014;CHP;10,38
001.03.61;88433;;PROJETOR DE ARGAMASSA, CAPACIDADE DE PROJEÇÃO 2 M3/H, ALCANCE ATÉ 50 M, MOTOR ELÉTRICO POTÊNCIA 7,5 HP - CHP DIURNO. AF_06/2014;CHP;13,11
001.03.62;88830;;BETONEIRA CAPACIDADE NOMINAL DE 400 L, CAPACIDADE DE MISTURA 310 L, MOTOR ELÉTRICO TRIFÁSICO POTÊNCIA DE 2 HP, SEM CARREGADOR - CHP DIURNO. AF_10/2014;CHP;1,05
001.03.63;88843;;TRATOR DE ESTEIRAS, POTÊNCIA 125 HP, PESO OPERACIONAL 12,9 T, COM LÂMINA 2,7 M3 - CHP DIURNO. AF_10/2014;CHP;171,34
001.03.64;88907;;ESCAVADEIRA HIDRÁULICA SOBRE ESTEIRAS, CAÇAMBA 1,20 M3, PESO OPERACIONAL 21 T, POTÊNCIA BRUTA 155 HP - CHP DIURNO. AF_06/2014;CHP;170,45
001.03.65;89021;;BOMBA SUBMERSÍVEL ELÉTRICA TRIFÁSICA, POTÊNCIA 2,96 HP, Ø ROTOR 144 MM SEMI-ABERTO, BOCAL DE SAÍDA Ø 2”, HM/Q = 2 MCA / 38,8 M3/H A 28 MCA / 5 M3/H - CHP DIURNO. AF_06/2014;CHP;1,28
001.03.66;89028;;TANQUE DE ASFALTO ESTACIONÁRIO COM MAÇARICO, CAPACIDADE 20.000 L - CHP DIURNO. AF_06/2014;CHP;133,76
001.03.67;89032;;TRATOR DE ESTEIRAS, POTÊNCIA 100 HP, PESO OPERACIONAL 9,4 T, COM LÂMINA 2,19 M3 - CHP DIURNO. AF_06/2014;CHP;153,07
001.03.68;89035;;TRATOR DE PNEUS, POTÊNCIA 85 CV, TRAÇÃO 4X4, PESO COM LASTRO DE 4.675 KG - CHP DIURNO. AF_06/2014;CHP;68,6
001.03.69;89225;;BETONEIRA CAPACIDADE NOMINAL DE 600 L, CAPACIDADE DE MISTURA 360 L, MOTOR ELÉTRICO TRIFÁSICO POTÊNCIA DE 4 CV, SEM CARREGADOR - CHP DIURNO. AF_11/2014;CHP;3,14
001.03.70;89234;;FRESADORA DE ASFALTO A FRIO SOBRE RODAS, LARGURA FRESAGEM DE 1,0 M, POTÊNCIA 208 HP - CHP DIURNO. AF_11/2014;CHP;281,22
001.03.71;89242;;FRESADORA DE ASFALTO A FRIO SOBRE RODAS, LARGURA FRESAGEM DE 2,0 M, POTÊNCIA 550 HP - CHP DIURNO. AF_11/2014;CHP;665,34
001.03.72;89250;;RECICLADORA DE ASFALTO A FRIO SOBRE RODAS, LARGURA FRESAGEM DE 2,0 M, POTÊNCIA 422 HP - CHP DIURNO. AF_11/2014;CHP;553,03
001.03.73;89257;;VIBROACABADORA DE ASFALTO SOBRE ESTEIRAS, LARGURA DE PAVIMENTAÇÃO 2,13 M A 4,55 M, POTÊNCIA 100 HP CAPACIDADE 400 T/H - CHP DIURNO. AF_11/2014;CHP;147,7
001.03.74;89272;;GUINDASTE HIDRÁULICO AUTOPROPELIDO, COM LANÇA TELESCÓPICA 28,80 M, CAPACIDADE MÁXIMA 30 T, POTÊNCIA 97 KW, TRAÇÃO 4 X 4 - CHP DIURNO. AF_11/2014;CHP;158,23
001.03.75;89278;;BETONEIRA CAPACIDADE NOMINAL DE 600 L, CAPACIDADE DE MISTURA 440 L, MOTOR A DIESEL POTÊNCIA 10 HP, COM CARREGADOR - CHP DIURNO. AF_11/2014;CHP;7,41
001.03.76;89843;;BATE-ESTACAS POR GRAVIDADE, POTÊNCIA DE 160 HP, PESO DO MARTELO ATÉ 3 TONELADAS - CHP DIURNO. AF_11/2014;CHP;146,53
001.03.77;89876;;CAMINHÃO BASCULANTE 14 M3, COM CAVALO MECÂNICO DE CAPACIDADE MÁXIMA DE TRAÇÃO COMBINADO DE 36000 KG, POTÊNCIA 286 CV, INCLUSIVE SEMIREBOQUE COM CAÇAMBA METÁLICA - CHP DIURNO. AF_12/2014;CHP;175,34
001.03.78;89883;;CAMINHÃO BASCULANTE 18 M3, COM CAVALO MECÂNICO DE CAPACIDADE MÁXIMA DE TRAÇÃO COMBINADO DE 45000 KG, POTÊNCIA 330 CV, INCLUSIVE SEMIREBOQUE COM CAÇAMBA METÁLICA - CHP DIURNO. AF_12/2014;CHP;194,92
001.03.79;90586;;VIBRADOR DE IMERSÃO, DIÂMETRO DE PONTEIRA 45MM, MOTOR ELÉTRICO TRIFÁSICO POTÊNCIA DE 2 CV - CHP DIURNO. AF_06/2015;CHP;1,79
001.03.80;90625;;"PERFURATRIZ MANUAL, TORQUE MÁXIMO 83 N.M, POTÊNCIA 5 CV, COM DIÂMETRO MÁXIMO 4"" - CHP DIURNO. AF_06/2015";CHP;4,86
001.03.81;90631;;"PERFURATRIZ SOBRE ESTEIRA, TORQUE MÁXIMO 600 KGF, PESO MÉDIO 1000 KG, POTÊNCIA 20 HP, DIÂMETRO MÁXIMO 10"" - CHP DIURNO. AF_06/2015";CHP;93,22
001.03.82;90637;;MISTURADOR DUPLO HORIZONTAL DE ALTA TURBULÊNCIA, CAPACIDADE / VOLUME 2 X 500 LITROS, MOTORES ELÉTRICOS MÍNIMO 5 CV CADA, PARA NATA CIMENTO, ARGAMASSA E OUTROS - CHP DIURNO. AF_06/2015;CHP;9,08
001.03.83;90643;;BOMBA TRIPLEX, PARA INJEÇÃO DE NATA DE CIMENTO, VAZÃO MÁXIMA DE 100 LITROS/MINUTO, PRESSÃO MÁXIMA DE 70 BAR - CHP DIURNO. AF_06/2015;CHP;15,31
001.03.84;90650;;BOMBA CENTRÍFUGA MONOESTÁGIO COM MOTOR ELÉTRICO MONOFÁSICO, POTÊNCIA 15 HP, DIÂMETRO DO ROTOR 173 MM, HM/Q = 30 MCA / 90 M3/H A 45 MCA / 55 M3/H - CHP DIURNO. AF_06/2015;CHP;5,98
001.03.85;90656;;BOMBA DE PROJEÇÃO DE CONCRETO SECO, POTÊNCIA 10 CV, VAZÃO 3 M3/H - CHP DIURNO. AF_06/2015;CHP;9,77
001.03.86;90662;;BOMBA DE PROJEÇÃO DE CONCRETO SECO, POTÊNCIA 10 CV, VAZÃO 6 M3/H - CHP DIURNO. AF_06/2015;CHP;10,24
001.03.87;90668;;PROJETOR PNEUMÁTICO DE ARGAMASSA PARA CHAPISCO E REBOCO COM RECIPIENTE ACOPLADO, TIPO CANEQUINHA, COM COMPRESSOR DE AR REBOCÁVEL VAZÃO 89 PCM E MOTOR DIESEL DE 20 CV - CHP DIURNO. AF_06/2015;CHP;48,19
001.03.88;90674;;PERFURATRIZ COM TORRE METÁLICA PARA EXECUÇÃO DE ESTACA HÉLICE CONTÍNUA, PROFUNDIDADE MÁXIMA DE 30 M, DIÂMETRO MÁXIMO DE 800 MM, POTÊNCIA INSTALADA DE 268 HP, MESA ROTATIVA COM TORQUE MÁXIMO DE 170 KNM - CHP DIURNO. AF_06/2015;CHP;477,13
001.03.89;90680;;PERFURATRIZ HIDRÁULICA SOBRE CAMINHÃO COM TRADO CURTO ACOPLADO, PROFUNDIDADE MÁXIMA DE 20 M, DIÂMETRO MÁXIMO DE 1500 MM, POTÊNCIA INSTALADA DE 137 HP, MESA ROTATIVA COM TORQUE MÁXIMO DE 30 KNM - CHP DIURNO. AF_06/2015;CHP;248,59
001.03.90;90686;;MANIPULADOR TELESCÓPICO, POTÊNCIA DE 85 HP, CAPACIDADE DE CARGA DE 3.500 KG, ALTURA MÁXIMA DE ELEVAÇÃO DE 12,3 M - CHP DIURNO. AF_06/2015;CHP;110,62
001.03.91;90692;;MINICARREGADEIRA SOBRE RODAS, POTÊNCIA LÍQUIDA DE 47 HP, CAPACIDADE NOMINAL DE OPERAÇÃO DE 646 KG - CHP DIURNO. AF_06/2015;CHP;60,55
001.03.92;90964;;COMPRESSOR DE AR REBOCÁVEL, VAZÃO 89 PCM, PRESSÃO EFETIVA DE TRABALHO 102 PSI, MOTOR DIESEL, POTÊNCIA 20 CV - CHP DIURNO. AF_06/2015;CHP;17,55
001.03.93;90972;;COMPRESSOR DE AR REBOCAVEL, VAZÃO 250 PCM, PRESSAO DE TRABALHO 102 PSI, MOTOR A DIESEL POTÊNCIA 81 CV - CHP DIURNO. AF_06/2015;CHP;49,88
001.03.94;90979;;COMPRESSOR DE AR REBOCÁVEL, VAZÃO 748 PCM, PRESSÃO EFETIVA DE TRABALHO 102 PSI, MOTOR DIESEL, POTÊNCIA 210 CV - CHP DIURNO. AF_06/2015;CHP;128,89
001.03.95;90991;;ESCAVADEIRA HIDRÁULICA SOBRE ESTEIRAS, CAÇAMBA 0,80 M3, PESO OPERACIONAL 17,8 T, POTÊNCIA LÍQUIDA 110 HP - CHP DIURNO. AF_10/2014;CHP;137,56
001.03.96;90999;;COMPRESSOR DE AR REBOCAVEL, VAZÃO 400 PCM, PRESSAO DE TRABALHO 102 PSI, MOTOR A DIESEL POTÊNCIA 110 CV - CHP DIURNO. AF_06/2015;CHP;66,51
001.03.97;91031;;CAMINHÃO TRUCADO (C/ TERCEIRO EIXO) ELETRÔNICO - POTÊNCIA 231CV - PBT = 22000KG - DIST. ENTRE EIXOS 5170 MM - INCLUI CARROCERIA FIXA ABERTA DE MADEIRA - CHP DIURNO. AF_06/2015;CHP;131,99
001.03.98;91277;;PLACA VIBRATÓRIA REVERSÍVEL COM MOTOR 4 TEMPOS A GASOLINA, FORÇA CENTRÍFUGA DE 25 KN (2500 KGF), POTÊNCIA 5,5 CV - CHP DIURNO. AF_08/2015;CHP;6,4
001.03.99;91283;;"CORTADORA DE PISO COM MOTOR 4 TEMPOS A GASOLINA, POTÊNCIA DE 13 HP, COM DISCO DE CORTE DIAMANTADO SEGMENTADO PARA CONCRETO, DIÂMETRO DE 350 MM, FURO DE 1"" (14 X 1"") - CHP DIURNO. AF_08/2015";CHP;13,22
001.03.100;91386;;CAMINHÃO BASCULANTE 10 M3, TRUCADO CABINE SIMPLES, PESO BRUTO TOTAL 23.000 KG, CARGA ÚTIL MÁXIMA 15.935 KG, DISTÂNCIA ENTRE EIXOS 4,80 M, POTÊNCIA 230 CV INCLUSIVE CAÇAMBA METÁLICA - CHP DIURNO. AF_06/2014;CHP;141,23
001.03.101;91533;;COMPACTADOR DE SOLOS DE PERCUSSÃO (SOQUETE) COM MOTOR A GASOLINA 4 TEMPOS, POTÊNCIA 4 CV - CHP DIURNO. AF_08/2015;CHP;6,6
001.03.102;91634;;GUINDAUTO HIDRÁULICO, CAPACIDADE MÁXIMA DE CARGA 6500 KG, MOMENTO MÁXIMO DE CARGA 5,8 TM, ALCANCE MÁXIMO HORIZONTAL 7,60 M, INCLUSIVE CAMINHÃO TOCO PBT 9.700 KG, POTÊNCIA DE 160 CV - CHP DIURNO. AF_08/2015;CHP;102,78
001.03.103;91645;;CAMINHÃO DE TRANSPORTE DE MATERIAL ASFÁLTICO 30.000 L, COM CAVALO MECÂNICO DE CAPACIDADE MÁXIMA DE TRAÇÃO COMBINADO DE 66.000 KG, POTÊNCIA 360 CV, INCLUSIVE TANQUE DE ASFALTO COM SERPENTINA - CHP DIURNO. AF_08/2015;CHP;207,48
001.03.104;91692;;"SERRA CIRCULAR DE BANCADA COM MOTOR ELÉTRICO POTÊNCIA DE 5HP, COM COIFA PARA DISCO 10"" - CHP DIURNO. AF_08/2015";CHP;1,44
001.03.105;92043;;DISTRIBUIDOR DE AGREGADOS REBOCAVEL, CAPACIDADE 1,9 M³, LARGURA DE TRABALHO 3,66 M - CHP DIURNO. AF_11/2015;CHP;5,61
001.03.106;92106;;CAMINHÃO PARA EQUIPAMENTO DE LIMPEZA A SUCÇÃO, COM CAMINHÃO TRUCADO DE PESO BRUTO TOTAL 23000 KG, CARGA ÚTIL MÁXIMA 15935 KG, DISTÂNCIA ENTRE EIXOS 4,80 M, POTÊNCIA 230 CV, INCLUSIVE LIMPADORA A SUCÇÃO, TANQUE 12000 L - CHP DIURNO. AF_11/2015;CHP;143,5
001.03.107;92112;;PENEIRA ROTATIVA COM MOTOR ELÉTRICO TRIFÁSICO DE 2 CV, CILINDRO DE 1 M X 0,60 M, COM FUROS DE 3,17 MM - CHP DIURNO. AF_11/2015;CHP;2,65
001.03.108;92118;;DOSADOR DE AREIA, CAPACIDADE DE 26 LITROS - CHP DIURNO. AF_11/2015;CHP;1,57
001.03.109;92138;;CAMINHONETE COM MOTOR A DIESEL, POTÊNCIA 180 CV, CABINE DUPLA, 4X4 - CHP DIURNO. AF_11/2015;CHP;96,86
001.03.110;92145;;CAMINHONETE CABINE SIMPLES COM MOTOR 1.6 FLEX, CÂMBIO MANUAL, POTÊNCIA 101/104 CV, 2 PORTAS - CHP DIURNO. AF_11/2015;CHP;79,79
001.03.111;92242;;CAMINHÃO DE TRANSPORTE DE MATERIAL ASFÁLTICO 20.000 L, COM CAVALO MECÂNICO DE CAPACIDADE MÁXIMA DE TRAÇÃO COMBINADO DE 45.000 KG, POTÊNCIA 330 CV, INCLUSIVE TANQUE DE ASFALTO COM MAÇARICO - CHP DIURNO. AF_12/2015;CHP;179,81
001.03.112;92716;;APARELHO PARA CORTE E SOLDA OXI-ACETILENO SOBRE RODAS, INCLUSIVE CILINDROS E MAÇARICOS - CHP DIURNO. AF_12/2015;CHP;12,26
001.03.113;92960;;MÁQUINA EXTRUSORA DE CONCRETO PARA GUIAS E SARJETAS, MOTOR A DIESEL, POTÊNCIA 14 CV - CHP DIURNO. AF_12/2015;CHP;13,06
001.03.114;92966;;MARTELO PERFURADOR PNEUMÁTICO MANUAL, HASTE 25 X 75 MM, 21 KG - CHP DIURNO. AF_12/2015;CHP;10,95
001.03.115;93224;;PERFURATRIZ COM TORRE METÁLICA PARA EXECUÇÃO DE ESTACA HÉLICE CONTÍNUA, PROFUNDIDADE MÁXIMA DE 32 M, DIÂMETRO MÁXIMO DE 1000 MM, POTÊNCIA INSTALADA DE 350 HP, MESA ROTATIVA COM TORQUE MÁXIMO DE 263 KNM - CHP DIURNO. AF_01/2016;CHP;700,55
001.03.116;93233;;BETONEIRA CAPACIDADE NOMINAL 400 L, CAPACIDADE DE MISTURA 310 L, MOTOR A GASOLINA POTÊNCIA 5,5 HP, SEM CARREGADOR - CHP DIURNO. AF_02/2016;CHP;5,51
001.03.117;93272;;GRUA ASCENSIONAL, LANCA DE 30 M, CAPACIDADE DE 1,0 T A 30 M, ALTURA ATE 39 M - CHP DIURNO. AF_03/2016;CHP;74,99
001.03.118;93281;;GUINCHO ELÉTRICO DE COLUNA, CAPACIDADE 400 KG, COM MOTO FREIO, MOTOR TRIFÁSICO DE 1,25 CV - CHP DIURNO. AF_03/2016;CHP;10,71
001.03.119;93287;;GUINDASTE HIDRÁULICO AUTOPROPELIDO, COM LANÇA TELESCÓPICA 40 M, CAPACIDADE MÁXIMA 60 T, POTÊNCIA 260 KW - CHP DIURNO. AF_03/2016;CHP;287,54
001.03.120;93415;;GERADOR PORTÁTIL MONOFÁSICO, POTÊNCIA 5500 VA, MOTOR A GASOLINA, POTÊNCIA DO MOTOR 13 CV - CHP DIURNO. AF_03/2016;CHP;11,72
001.03.121;93421;;GRUPO GERADOR REBOCÁVEL, POTÊNCIA 66 KVA, MOTOR A DIESEL - CHP DIURNO. AF_03/2016;CHP;47,08
001.03.122;93427;;GRUPO GERADOR ESTACIONÁRIO, POTÊNCIA 150 KVA, MOTOR A DIESEL- CHP DIURNO. AF_03/2016;CHP;108
001.03.123;93433;;USINA DE MISTURA ASFÁLTICA À QUENTE, TIPO CONTRA FLUXO, PROD 40 A 80 TON/HORA - CHP DIURNO. AF_03/2016;CHP;1.828,58
001.03.124;93439;;USINA DE ASFALTO À FRIO, CAPACIDADE DE 40 A 60 TON/HORA, ELÉTRICA POTÊNCIA 30 CV - CHP DIURNO. AF_03/2016;CHP;91,27
001.03.125;5957;;COMPACTADOR DE SOLOS COM PLACA VIBRATORIA, 46X51CM, 5HP, 156KG, DIESEL, IMPACTO DINAMICO 1700KG - CUSTO HORARIO PRODUTIVO DIURNO;CHP;18,33
001.03.126;5632;;ESCAVADEIRA HIDRÁULICA SOBRE ESTEIRAS, CAÇAMBA 0,80 M3, PESO OPERACIONAL 17 T, POTENCIA BRUTA 111 HP - CHI DIURNO. AF_06/2014;CHI;50,24
001.03.127;5679;;RETROESCAVADEIRA SOBRE RODAS COM CARREGADEIRA, TRAÇÃO 4X4, POTÊNCIA LÍQ. 88 HP, CAÇAMBA CARREG. CAP. MÍN. 1 M3, CAÇAMBA RETRO CAP. 0,26 M3, PESO OPERACIONAL MÍN. 6.674 KG, PROFUNDIDADE ESCAVAÇÃO MÁX. 4,37 M - CHI DIURNO. AF_06/2014;CHI;35,63
001.03.128;5681;;RETROESCAVADEIRA SOBRE RODAS COM CARREGADEIRA, TRAÇÃO 4X2, POTÊNCIA LÍQ. 79 HP, CAÇAMBA CARREG. CAP. MÍN. 1 M3, CAÇAMBA RETRO CAP. 0,20 M3, PESO OPERACIONAL MÍN. 6.570 KG, PROFUNDIDADE ESCAVAÇÃO MÁX. 4,37 M - CHI DIURNO. AF_06/2014;CHI;33,69
001.03.129;5685;;ROLO COMPACTADOR VIBRATÓRIO DE UM CILINDRO AÇO LISO, POTÊNCIA 80 HP, PESO OPERACIONAL MÁXIMO 8,1 T, IMPACTO DINÂMICO 16,15 / 9,5 T, LARGURA DE TRABALHO 1,68 M - CHI DIURNO. AF_06/2014;CHI;33,63
001.03.130;5690;;GRADE DE DISCO CONTROLE REMOTO REBOCÁVEL, COM 24 DISCOS 24” X 6 MM COM PNEUS PARA TRANSPORTE - CHI DIURNO. AF_06/2014;CHI;3,91
001.03.131;5806;;"MOTOBOMBA CENTRÍFUGA, MOTOR A GASOLINA, POTÊNCIA 5,42 HP, BOCAIS 1 1/2"" X 1"", DIÂMETRO ROTOR 143 MM HM/Q = 6 MCA / 16,8 M3/H A 38 MCA / 6,6 M3/H - CHI DIURNO. AF_06/2014";CHI;0,19
001.03.132;5826;;CAMINHÃO TOCO, PBT 16.000 KG, CARGA ÚTIL MÁX. 10.685 KG, DIST. ENTRE EIXOS 4,8 M, POTÊNCIA 189 CV, INCLUSIVE CARROCERIA FIXA ABERTA DE MADEIRA P/ TRANSPORTE GERAL DE CARGA SECA, DIMEN. APROX. 2,5 X 7,00 X 0,50 M - CHI DIURNO. AF_06/2014;CHI;27,22
001.03.133;5829;;USINA DE CONCRETO FIXA CAPACIDADE 90/120 M³, 63HP - CHI DIURNO;CHI;101,44
001.03.134;5837;;VIBROACABADORA DE ASFALTO SOBRE ESTEIRAS, LARGURA DE PAVIMENTAÇÃO 1,90 M A 5,30 M, POTÊNCIA 105 HP CAPACIDADE 450 T/H - CHI DIURNO. AF_11/2014;CHI;68,1
001.03.135;5841;;VASSOURA MECÂNICA REBOCÁVEL COM ESCOVA CILÍNDRICA, LARGURA ÚTIL DE VARRIMENTO DE 2,44 M - CHI DIURNO. AF_06/2014;CHI;3,99
001.03.136;5845;;TRATOR DE PNEUS, POTÊNCIA 122 CV, TRAÇÃO 4X4, PESO COM LASTRO DE 4.510 KG - CHI DIURNO. AF_06/2014;CHI;25,01
001.03.137;5849;;TRATOR DE ESTEIRAS, POTÊNCIA 170 HP, PESO OPERACIONAL 19 T, CAÇAMBA 5,2 M3 - CHI DIURNO. AF_06/2014;CHI;66,43
001.03.138;5853;;TRATOR DE ESTEIRAS, POTÊNCIA 150 HP, PESO OPERACIONAL 16,7 T, COM RODA MOTRIZ ELEVADA E LÂMINA 3,18 M3 - CHI DIURNO. AF_06/2014;CHI;66,74
001.03.139;5857;;TRATOR DE ESTEIRAS, POTÊNCIA 347 HP, PESO OPERACIONAL 38,5 T, COM LÂMINA 8,70 M3 - CHI DIURNO. AF_06/2014;CHI;180,02
001.03.140;5865;;ROLO COMPACTADOR VIBRATÓRIO REBOCÁVEL, CILINDRO DE AÇO LISO, POTÊNCIA DE TRAÇÃO DE 65 CV, PESO 4,7 T, IMPACTO DINÂMICO 18,3 T, LARGURA DE TRABALHO 1,67 M - CHI DIURNO. AF_02/2016;CHI;5,49
001.03.141;5869;;ROLO COMPACTADOR VIBRATÓRIO TANDEM AÇO LISO, POTÊNCIA 58 HP, PESO SEM/COM LASTRO 6,5 / 9,4 T, LARGURA DE TRABALHO 1,2 M - CHI DIURNO. AF_06/2014;CHI;37,78
001.03.142;5873;;ROLO COMPACTADOR DE PNEUS ESTÁTICO, PRESSÃO VARIÁVEL, POTÊNCIA 99 HP, PESO SEM/COM LASTRO 9,45 / 21,0 T, LARGURA DE ROLAGEM 2,265 M - CHI DIURNO. AF_02/2016;CHI;39,1
001.03.143;5877;;RETROESCAVADEIRA SOBRE RODAS COM CARREGADEIRA, TRAÇÃO 4X4, POTÊNCIA LÍQ. 72 HP, CAÇAMBA CARREG. CAP. MÍN. 0,79 M3, CAÇAMBA RETRO CAP. 0,18 M3, PESO OPERACIONAL MÍN. 7.140 KG, PROFUNDIDADE ESCAVAÇÃO MÁX. 4,50 M - CHI DIURNO. AF_06/2014;CHI;35,01
001.03.144;5881;;ROLO COMPACTADOR VIBRATÓRIO PÉ DE CARNEIRO, OPERADO POR CONTROLE REMOTO, POTÊNCIA 12,5 KW, PESO OPERACIONAL 1,675 T, LARGURA DE TRABALHO 0,85 M - CHI DIURNO. AF_02/2016;CHI;40,3
001.03.145;5884;;USINA DE LAMA ASFÁLTICA, PROD 30 A 50 T/H, SILO DE AGREGADO 7 M3, RESERVATÓRIOS PARA EMULSÃO E ÁGUA DE 2,3 M3 CADA, MISTURADOR TIPO PUG MILL A SER MONTADO SOBRE CAMINHÃO - CHI DIURNO. AF_10/2014;CHI;35,62
001.03.146;5892;;CAMINHÃO TOCO, PESO BRUTO TOTAL 14.300 KG, CARGA ÚTIL MÁXIMA 9590 KG, DISTÂNCIA ENTRE EIXOS 4,76 M, POTÊNCIA 185 CV (NÃO INCLUI CARROCERIA) - CHI DIURNO. AF_06/2014;CHI;28,18
001.03.147;5896;;CAMINHÃO TOCO, PESO BRUTO TOTAL 16.000 KG, CARGA ÚTIL MÁXIMA DE 10.685 KG, DISTÂNCIA ENTRE EIXOS 4,80 M, POTÊNCIA 189 CV EXCLUSIVE CARROCERIA - CHI DIURNO. AF_06/2014;CHI;26,12
001.03.148;5903;;CAMINHÃO PIPA 10.000 L TRUCADO, PESO BRUTO TOTAL 23.000 KG, CARGA ÚTIL MÁXIMA 15.935 KG, DISTÂNCIA ENTRE EIXOS 4,8 M, POTÊNCIA 230 CV, INCLUSIVE TANQUE DE AÇO PARA TRANSPORTE DE ÁGUA - CHI DIURNO. AF_06/2014;CHI;33,7
001.03.149;5907;;DISTRIBUIDOR DE AGREGADO TIPO DOSADOR REBOCAVEL  COM 4 PNEUS COM LARGURA 3,66 M - CHI DIURNO;CHI;8,14
001.03.150;5911;;ESPARGIDOR DE ASFALTO PRESSURIZADO COM TANQUE DE 2500 L, REBOCÁVEL COM MOTOR A GASOLINA POTÊNCIA 3,4 HP - CHI DIURNO. AF_07/2014;CHI;16,65
001.03.151;5923;;"GRADE DE DISCO REBOCÁVEL COM 20 DISCOS 24"" X 6 MM COM PNEUS PARA TRANSPORTE - CHI DIURNO. AF_06/2014";CHI;3,07
001.03.152;5926;;LANCA ELEVATORIA TELESCOPICA DE ACIONAMENTO HIDRAULICO, CAPACIDADE DE CARGA 30.000 KG, COM CESTO, MONTADA SOBRE CAMINHAO TRUCADO - CHI DIURNO;CHI;257,92
001.03.153;5930;;GUINDAUTO HIDRÁULICO, CAPACIDADE MÁXIMA DE CARGA 6200 KG, MOMENTO MÁXIMO DE CARGA 11,7 TM, ALCANCE MÁXIMO HORIZONTAL 9,70 M, INCLUSIVE CAMINHÃO TOCO PBT 16.000 KG, POTÊNCIA DE 189 CV - CHI DIURNO. AF_06/2014;CHI;32,41
001.03.154;5934;;MOTONIVELADORA POTÊNCIA BÁSICA LÍQUIDA (PRIMEIRA MARCHA) 125 HP, PESO BRUTO 13032 KG, LARGURA DA LÂMINA DE 3,7 M - CHI DIURNO. AF_06/2014;CHI;53,67
001.03.155;5942;;PÁ CARREGADEIRA SOBRE RODAS, POTÊNCIA LÍQUIDA 128 HP, CAPACIDADE DA CAÇAMBA 1,7 A 2,8 M3, PESO OPERACIONAL 11632 KG - CHI DIURNO. AF_06/2014;CHI;46,72
001.03.156;5946;;PÁ CARREGADEIRA SOBRE RODAS, POTÊNCIA 197 HP, CAPACIDADE DA CAÇAMBA 2,5 A 3,5 M3, PESO OPERACIONAL 18338 KG - CHI DIURNO. AF_06/2014;CHI;58,1
001.03.157;5952;;MARTELETE OU ROMPEDOR PNEUMÁTICO MANUAL 28KG, FREQUENCIA DE IMPACTO 1230/MINUTO - CHI DIURNO;CHI;11,37
001.03.158;5954;;COMPRESSOR DE AR REBOCÁVEL, VAZÃO 189 PCM, PRESSÃO EFETIVA DE TRABALHO 102 PSI, MOTOR DIESEL, POTÊNCIA 63 CV - CHI DIURNO. AF_06/2015;CHI;2,77
001.03.159;5959;;COMPACTADOR DE SOLOS COM PLACA VIBRATORIA, 46X51CM, 5HP, 156KG, DIESEL, IMPACTO DINAMICO 1700KG - CUSTO HORARIO IMPRODUTIVO DIURNO;CHI;14,91
001.03.160;5961;;CAMINHÃO BASCULANTE 6 M3, PESO BRUTO TOTAL 16.000 KG, CARGA ÚTIL MÁXIMA 13.071 KG, DISTÂNCIA ENTRE EIXOS 4,80 M, POTÊNCIA 230 CV INCLUSIVE CAÇAMBA METÁLICA - CHI DIURNO. AF_06/2014;CHI;33,2
001.03.161;6260;;CAMINHÃO PIPA 6.000 L, PESO BRUTO TOTAL 13.000 KG, DISTÂNCIA ENTRE EIXOS 4,80 M, POTÊNCIA 189 CV INCLUSIVE TANQUE DE AÇO PARA TRANSPORTE DE ÁGUA, CAPACIDADE 6 M3 - CHI DIURNO. AF_06/2014;CHI;29,55
001.03.162;6880;;ROLO COMPACTADOR DE PNEUS ESTÁTICO, PRESSÃO VARIÁVEL, POTÊNCIA 111 HP, PESO SEM/COM LASTRO 9,5 / 26 T, LARGURA DE TRABALHO 1,90 M - CHI DIURNO. AF_07/2014;CHI;39,91
001.03.163;7023;;DISTRIBUIDOR DE BETUME 6000L 56CV SOB PRESSAO MONTADO SOBRE CHASSIS DE CAMINHÃO - CHI;CHI;23,27
001.03.164;7031;;TANQUE DE ASFALTO ESTACIONÁRIO COM SERPENTINA, CAPACIDADE 30.000 L - CHI DIURNO. AF_06/2014;CHI;2,53
